,2 Intro,2 Last Seen
Harry Potter,2.1,2.18
Hermione Granger,2.4,2.18
Ronald Weasley,2.2,2.18
Fred Weasley,2.3,2.18
George Weasley,2.3,2.18
Ginny Weasley,2.3,2.18
Albus Dumbledore,2.5,2.18
Voldemort,2.17,2.17
Draco Malfoy,2.4,2.18
Minerva McGonagall,2.5,2.18
Lucius Malfoy,2.4,2.18
Bellatrix Lestrange,,
Remus Lupin,,
Sirius Black,,
Peter Pettigrew,2.3,2.12
Rubeus Hagrid,2.4,2.18
Argus Filch,2.8,2.13
Arabella Figg,,
Cedric Diggory,,
Viktor Krum,,
Fleur Delacour,,
Severus Snape,2.5,2.16
Vernon Dursley,2.1,2.1
Petunia Dursley,2.1,2.1
Dudley Dursley,2.1,2.1
Dobby,2.1,2.18
Filius Flitwick,2.7,2.16
Pomona Sprout,2.6,2.16
Sybill Trelawney,,
Quirinus Quirrell,,
Cuthbert Binns,2.9,2.9
Barty Crouch Jr.,,
Barty Crouch,,
Alastor Moody,,
Lavender Brown,2.9,2.9
Parvati Patil,2.9,2.9
Seamus Finnegan,2.5,2.16
Neville Longbottom,2.5,2.16
Dean Thomas,2.5,2.15
Hannah Abbott,2.11,2.15
Susan Bones,,
Ernie Macmillan,2.11,2.15
Justin Finch-Fletchley,2.06,2.18
Vincent Crabbe,2.06,2.15
Gregory Goyle,2.06,2.15
Padma Patil,,
Michael Corner,,
Anthony Goldstein,,
Terry Boot,,
Cho Chang,,
Pansy Parkinson,,
Blaise Zabini,,
Theodore Nott,,
Cormac McLaggen,,
Katie Bell,2.07,2.07
Lee Jordan,2.04,2.14
Angelina Johnson,2.07,2.07
Roger Davies,,
Alicia Spinnet,2.07,2.10
Percy Weasley,2.04,2.16
Charlie Weasley,,
Bill Weasley,,
Penelope Clearwater,,
Oliver Wood,2.07,2.14
Marcus Flint,2.07,2.10
Nymphadora Tonks,,
Gilderoy Lockhart,2.04,2.18
Andromeda Tonks,,
Narcissa Malfoy,,
Molly Weasley,2.03,2.18
Arthur Weasley,2.03,2.18
Firenze,,
Bane,,
Aragog,2.15,2.15
Dennis Creevey,,
Colin Creevey,2.06,2.10
Zachariah Smith,,
Luna Lovegood,,
