Character,3 Intro,3 Last Seen
Harry Potter,3.1,3.22
Hermione Granger,3.4,3.22
Ronald Weasley,3.4,3.22
Fred Weasley,3.4,3.16
George Weasley,3.4,3.16
Ginny Weasley,3.4,3.13
Albus Dumbledore,3.5,3.22
Voldemort,,
Draco Malfoy,3.5,3.16
Minerva McGonagall,3.5,3.15
Lucius Malfoy,,
Bellatrix Lestrange,,
Remus Lupin,3.5,3.22
Sirius Black,"3.3 (Padfoot), 3.17 (Human)",3.21
Peter Pettigrew,"3.4 (Scabbers), 3.19 (Human)",3.20
Rubeus Hagrid,3.5,3.22
Argus Filch,3.8,3.14
Arabella Figg,,
Cedric Diggory,3.9,3.13
Viktor Krum,,
Fleur Delacour,,
Severus Snape,3.5,3.22
Vernon Dursley,3.1,3.22
Petunia Dursley,3.1,3.2
Dudley Dursley,3.1,3.2
Dobby,,
Filius Flitwick,3.5,3.15
Pomona Sprout,3.8,3.11
Sybill Trelawney,3.6,3.16
Quirinus Quirrell,,
Cuthbert Binns,,
Barty Crouch Jr.,,
Barty Crouch,,
Alastar Moody,,
Lavender Brown,3.6,3.16
Parvati Patil,3.6,3.16
Seamus Finnegan,3.4,3.22
Neville Longbottom,3.4,3.16
Dean Thomas,3.4,3.22
