,Full Intro,Full Last Seen,House,Blood Status,1 Intro,1 Last Seen,1 Year,2 Intro,2 Last Seen,2 Year,3 Intro,3 Last Seen,3 Year,4 Intro,4 Last Seen,4 Year,5 Intro,5 Last Seen,5 Year,6 Intro,6 Last Seen,6 Year,7 Intro,7 Last Seen,7 Year
Kingsley Shacklebolt,,,,,,,,,,,,,,,,,5.03,5.36,,6.30,6.30,,7.04,7.30,
Cornelius Fudge,,,,,,,,,,,3.03,3.22,,4.08,4.36,,5.08,5.37,,6.01,6.30,,,,
Rufus Scrimgeour,,,,,,,,,,,,,,,,,,,,6.01,6.30,,7.07,7.07,
Aberforth Dumbledore,,,,,,,,,,,,,,,,,,,,,,,7.28,7.36,
Hedwig,,,,,1.05,1.17,,2.01,2.12,,3.01,3.22,,4.02,4.37,,5.03,5.38,,6.03,6.11,,7.02,7.04,
Dolores Umbridge,,,,,,,,,,,,,,,,,5.08,5.38,,6.30,6.30,,7.12,7.13,
Peeves,,,,,1.07,1.16,,2.08,2.13,,3.07,3.22,,4.12,4.22,,5.12,5.30,,6.15,6.29,,7.32,7.32,
Poppy Pomfrey,,,,,1.17,1.17,,2.10,2.16,,3.05,3.22,,4.20,4.36,,5.32,5.38,,6.19,6.29,,7.33,7.33,
Ludo Bagman,,,,,,,,,,,,,,4.07,4.31,,,,,,,,,,
Stan Shunpike,,,,,,,,,,,3.03,3.03,,4.09,4.09,,5.24,5.24,,,,,7.04,7.04,
Gabrielle Delacour,,,,,,,,,,,,,,4.26,4.31,,,,,,,,7.06,7.08,
Antonin Dolohov,,,,,,,,,,,,,,,,,5.35,5.35,,,,,7.01,7.36,
Dedalus Diggle,,,,,1.02,1.05,,,,,,,,,,,5.03,5.03,,,,,7.03,7.03,
Kreacher,,,,,,,,,,,,,,,,,5.06,5.32,,6.03,6.21,,7.10,7.36,
Fenrir Greyback,,,,,,,,,,,,,,,,,,,,6.27,6.28,,7.23,7.36,
Garrick Olivander,,,,,1.05,1.05,,,,,,,,4.18,4.18,,,,,,,,7.23,7.25,
Xenophilius Lovegood,,,,,,,,,,,,,,,,,,,,,,,7.08,7.22,
Rita Skeeter,,,,,,,,,,,,,,4.18,4.37,,5.25,5.25,,6.30,6.30,,,,
Horace Slughorn,,,,,,,,,,,,,,,,,,,,6.04,6.30,,7.30,7.36,
Olympe Maxime,,,,,,,,,,,,,,4.15,4.37,,,,,6.30,6.30,,,,
August Rookwood,,,,,,,,,,,,,,,,,5.35,5.35,,,,,7.36,7.36,
Puis Thicknesse,,,,,,,,,,,,,,,,,,,,,,,7.13,7.36,
Elphias Doge,,,,,,,,,,,,,,,,,5.03,5.03,,,,,7.08,7.08,
Rolanda Hooch,,,,,1.09,1.11,,2.10,2.16,,3.09,3.15,,,,,5.19,5.19,,6.14,6.14,,,,
Wihelmina Grubbly-Plank,,,,,,,,,,,,,,4.24,4.24,,5.10,5.21,,,,,,,
Romilda Vane,,,,,,,,,,,,,,,,,,,,6.07,6.24,,,,
Winky,,,,,,,,,,,,,,4.08,4.35,,,,,,,,,,
Amelia Bones,,,,,,,,,,,,,,,,,5.08,5.08,,,,,,,
Ted Tonks,,,,,,,,,,,,,,,,,,,,,,,7.05,7.15,
Igor Karkaroff,,,,,,,,,,,,,,4.15,4.29,,,,,,,,,,
