,4 Intro,4 Last Seen
Harry Potter,4.1,4.37
Hermione Granger,4.5,4.37
Ronald Weasley,4.4,4.37
Fred Weasley,4.4,4.37
George Weasley,4.4,4.37
Ginny Weasley,4.5,4.31
Albus Dumbledore,4.12,4.37
Voldemort,4.32,4.34
Draco Malfoy,4.8,4.37
Minerva McGonagall,4.12,4.37
Lucius Malfoy,4.8,4.33
Bellatrix Lestrange,,
Remus Lupin,,
Sirius Black,4.19,4.36
Peter Pettigrew,4.32,4.34
Rubeus Hagrid,4.11,4.37
Argus Filch,4.12,4.25
Arabella Figg,,
Cedric Diggory,4.6,4.32
Viktor Krum,4.8,4.37
Fleur Delacour,4.12,4.37
Severus Snape,4.17,4.36
Vernon Dursley,4.3,4.37
Petunia Dursley,4.3,4.4
Dudley Dursley,4.3,4.4
Dobby,4.21,4.28
Filius Flitwick,4.12,4.31
Pomona Sprout,4.12,4.23
Sybill Trelawney,4.13,4.29
Quirinus Quirrell,,
Cuthbert Binns,4.29,4.29
Barty Crouch Jr.,4.3,4.35
Barty Crouch,4.7,4.28
Alastor Moody,4.3,4.37
Lavender Brown,4.13,4.28
Parvati Patil,4.13,4.28
Seamus Finnegan,4.7,4.24
Neville Longbottom,4.11,4.31
Dean Thomas,4.7,4.24
Hannah Abbott,4.13,3.19
Susan Bones,,
Ernie Macmillan,4.07,4.19
Justin Finch-Fletchley,4.18,4.18
Vincent Crabbe,4.11,4.37
Gregory Goyle,4.11,4.37
Padma Patil,4.23,4.27
Michael Corner,,
Anthony Goldstein,,
Terry Boot,,
Cho Chang,4.07,4.37
Pansy Parkinson,4.18,4.28
Blaise Zabini,,
Theodore Nott,,
Cormac McLaggen,,
Katie Bell,4.17,4.17
Lee Jordan,4.13,4.21
Angelina Johnson,4.16,4.23
Roger Davies,4.23,4.23
Alicia Spinnet,4.22,4.22
Percy Weasley,4.05,4.26
Charlie Weasley,4.05,4.2
Bill Weasley,4.05,4.36
Penelope Clearwater,,
Oliver Wood,4.07,4.07
Marcus Flint,,
Nymphadora Tonks,,
Gilderoy Lockhart,,
Andromeda Tonks,,
Narcissa Malfoy,4.08,4.08
Molly Weasley,4.05,4.37
Arthur Weasley,4.04,4.11
Firenze,,
Bane,,
Aragog,,
Dennis Creevey,4.12,4.26
Colin Creevey,4.12,4.26
Zacharias Smith,,
Luna Lovegood,,
