Character,6 Intro,6 Last Seen
Harry Potter,6.3,6.3
Hermione Granger,6.5,6.3
Ronald Weasley,6.5,6.3
Fred Weasley,6.6,6.3
George Weasley,6.6,6.3
Ginny Weasley,6.5,6.3
Albus Dumbledore,6.3,6.27
Voldemort,,
Draco Malfoy,6.6,6.28
Minerva McGonagall,6.8,6.3
Lucius Malfoy,,
Bellatrix Lestrange,6.2,6.2
Remus Lupin,6.6,6.3
Sirius Black,,
Peter Pettigrew,6.2,6.2
Rubeus Hagrid,6.6,6.3
Argus Filch,6.12,6.21
Arabella Figg,6.3,6.3
Cedric Diggory,,
Viktor Krum,,
Fleur Delacour,6.5,6.3
Severus Snape,6.2,6.28
Vernon Dursley,6.3,6.3
Petunia Dursley,6.3,6.3
Dudley Dursley,6.3,6.3
Dobby,6.19,6.21
Filius Flitwick,6.18,6.29
Pomona Sprout,6.14,6.3
Sybill Trelawney,6.8,6.25
Quirinus Quirrell,,
Cuthbert Binns,,
Barty Crouch Jr.,,
Barty Crouch,,
Alastar Moody,6.3,6.3
Lavender Brown,6.9,6.24
Parvati Patil,6.9,6.15
Seasmus Finnegan,6.8,6.3
Neville Longbottom,6.7,6.3
Dean Thomas,6.8,6.29
Hannah Abbott,,
Susan Bones,6.18,6.18
Ernie Macmillan,6.09,6.28
Justin Finch-Fletchley,,
Vincent Crabbe,6.07,6.30
Gregory Goyle,6.07,6.30
Padma Patil,,
Michael Corner,6.09,6.09
Anthony Goldstein,,
Terry Boot,6.09,6.09
Cho Chang,6.07,6.07
Pansy Parkinson,6.07,6.21
Blaise Zabini,6.07,6.18
Theodore Nott,6.09,6.09
Cormac McLaggen,6.07,6.19
Katie Bell,6.09,6.24
Lee Jordan,,
Angelina Johnson,,
Roger Davies,,
Alicia Spinnet,,
Percy Weasley,6.16,6.30
Charlie Weasley,,
Bill Weasley,6.06,6.30
Penelope Clearwater,,
Oliver Wood,,
Marcus Flint,,
Nymphadora Tonks,6.05,6.30
Gilderoy Lockhart,,
Andromeda Tonks,,
Narcissa Malfoy,6.02,6.06
Molly Weasley,6.05,6.30
Arthur Weasley,6.05,6.30
Firenze,6.30,6.30
Bane,,
Aragog,,
Dennis Creevey,,
Colin Creevey,,
Zacharias Smith,6.14,6.30
Luna Lovegood,6.07,6.30
