Character,First Seen,Last Seen,,,
Harry Potter,1.1,7.37,,,
Hermione Granger,1.6,7.37,,,
Ronald Weasley,1.6,7.37,,,
Fred Weasley,1.6,7.31,,,
George Weasley,1.6,7.36,,,
Ginny Weasley,1.6,7.37,,,
Albus Dumbledore,1.1,6.27,,,
Voldemort,1.17,7.36,,,
Draco Malfoy,1.6,7.37,,,
Minerva McGonagall,1.1,7.36,,,
Lucius Malfoy,2.4,7.36,,,
Bellatrix Lestrange,5.34,7.36,,,
Remus Lupin,3.5,7.31,,,
Sirius Black,3.3,7.35,,,
Peter Pettigrew,1.6,7.23,,,
Rubeus Hagrid,1.4,7.36,,,
Argus Filch,1.9,7.31,,,
Arabella Figg,5.1,6.3,,,
Cedric Diggory,3.9,4.32,,,
Viktor Krum,4.8,7.8,,,
Fleur Delacour,4.12,7.33,,,
Severus Snape,1.7,7.32,,,
Vernon Dursley,1.1,7.3,,,
Petunia Dursley,1.1,7.3,,,
Dudley Dursley,1.1,7.3,,,
Dobby,2.1,7.23,,,
Filius Flitwick,1.8,7.36,,,
Pomona Sprout,1.8,7.36,,,
Sybill Trelawney,3.6,7.32,,,
Quirinus Quirrell,1.5,1.17,,,
Cuthbert Binns,1.8,5.29,,,
Barty Crouch Jr.,4.30,4.36,,,
Barty Crouch,4.7,4.28,,,
Alastar Moody,4.30,7.4,,,
Lavender Brown,1.7,7.32,,,
Parvati Patil,1.7,7.32,,,
Seasmus Finnegan,1.7,7.36,,,
Neville Longbottom,1.6,7.36,,,
Dean Thomas,1.7,7.32,,,
Hannah Abbott,1.7,,,,
Susan Bones,1.7,,,,
Ernie Macmillan,2.11,,,,
Justin Finch-Fletchley,1.7,,,,
Vincent Crabbe,1.6,,,,
Gregory Goyle,1.6,,,,
Padma Patil,1.7,,,,
Michael Corner,5.16,,,,
Anthony Goldstein,5.16,,,,
Terry Boot,5.16,,,,
Cho Chang,,,,,
Pansy Parkinson,,,,,
Blaise Zabini,,,,,
Theodore Nott,,,,,
Cormac McLaggen,,,,,
Katie Bell,,,,,
Lee Jordan,,,,,
Angelina Johnson,,,,,
Roger Davies,,,,,
Alicia Spinnet,,,,,
Percy Weasley,,,,,
Charlie Weasley,,,,,
Bill Weasley,,,,,
Penelope Clearwater,,,,,
Oliver Wood,,,,,
Marcus Flint,,,,,
Nymphadora Tonks,,,,,
Gilderoy Lockhart,,,,,
Andromeda Tonks,,,,,
Narcissa Malfoy,,,,,
Molly Weasley,,,,,
Arthur Weasley,,,,,
Firenze,,,,,
Bane,,,,,
Aragog,,,,,
Dennis Creevey,,,,,
Colin Creevey,,,,,
Zacharia Smith,,,,,
Luna Lovegood,,,,,
Kreacher,,,,,
Delores Umbridge,,,,,
Garrick Ollivander,,,,,
