,Full Intro,Full Last Seen,House,Blood Status,1 Intro,1 Last Seen,1 Year,2 Intro,2 Last Seen,2 Year,3 Intro,3 Last Seen,3 Year,4 Intro,4 Last Seen,4 Year,5 Intro,5 Last Seen,5 Year,6 Intro,6 Last Seen,6 Year,7 Intro,7 Last Seen,7 Year
Harry Potter,1.1,7.37,,,1.1,1.17,First Year,2.1,2.18,Second Year,3.1,3.22,Third Year,4.1,4.37,Fourth Year,5.1,5.38,Fifth Year,6.3,6.30,Sixth Year,7.2,7.37,Dropout
Hermione Granger,1.6,7.37,,,1.6,1.17,First Year,2.4,2.18,Second Year,3.4,3.22,Third Year,4.5,4.37,Fourth Year,5.4,5.38,Fifth Year,6.5,6.30,Sixth Year,7.4,7.37,Dropout
Ronald Weasley,1.6,7.37,,,1.6,1.17,First Year,2.2,2.18,Second Year,3.4,3.22,Third Year,4.4,4.37,Fourth Year,5.4,5.38,Fifth Year,6.5,6.30,Sixth Year,7.4,7.37,Dropout
Fred Weasley,1.6,,,,1.6,1.17,Third Year,,2.18,Fourth Year,,,Fifth Year,,,Sixth Year,,,Seventh Year,,,,,,
George Weasley,1.6,,,,1.6,1.16,Third Year,,2.18,Fourth Year,,,Fifth Year,,,Sixth Year,,,Seventh Year,,,,,,
Ginny Weasley,1.6,,,,1.6,1.16,,,2.18,First Year,,,Second Year,,,Third Year,,,Fourth Year,,,Fifth Year,,,Fifth Year
Albus Dumbledore,1.1,,,,1.1,1.17,,,2.18,,,,,,,,,,,,,,,,
Voldemort,1.17,,,,1.17,1.17,,2.17,2.17,,,,,,,,,,,,,,,,
Draco Malfoy,1.6,,,,1.6,1.17,First Year,2.4,2.18,Second Year,,,,,,,,,,,,,,,
Minerva McGonagall,1.1,,,,1.1,1.16,,2.5,2.18,,,,,,,,,,,,,,,,
Lucius Malfoy,2.4,,,,,,,2.4,2.18,,,,,,,,,,,,,,,,
Bellatrix Lestrange,5.34,,,,,,,,,,,,,,,,,,,,,,,,
Remus Lupin,3.5,,,,,,,,,,3.5,,,,,,,,,,,,,,
Sirius Black,3.3,,,,,,,,,,3.3,,,,,,,,,,,,,,
Peter Pettigrew,1.6,,,,1.6,1.12,,,,,,,,,,,,,,,,,,,
Rubeus Hagrid,1.4,,,,1.4,1.17,,,,,,,,,,,,,,,,,,,
Argus Filch,1.9,,,,1.9,1.15,,,,,,,,,,,,,,,,,,,
Arabella Figg,5.1,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Diggory,3.9,,,,,,,,,,3.9,,Sixth Year,,,Seventh Year,,,,,,,,,
Viktor Krum,4.8,,,,,,,,,,,,,,,,,,,,,,,,
Fleur Delacour,4.12,,,,,,,,,,,,,,,,,,,,,,,,
Severus Snape,1.7,,,,1.7,1.17,,,,,,,,,,,,,,,,,,,
Vernon Dursley,1.1,,,,1.1,1.4,,,,,,,,,,,,,,,,,,,
Petunia Dursley,1.1,,,,1.1,1.4,,,,,,,,,,,,,,,,,,,
Dudley Dursley,1.1,,,,1.1,1.4,,,,,,,,,,,,,,,,,,,
Dobby,2.1,,,,,,,2.1,2.18,,,,,,,,,,,,,,,,
Filius Flitwick,1.8,,,,1.8,1.16,,,,,,,,,,,,,,,,,,,
Pomona Sprout,1.8,,,,1.8,1.8,,,,,,,,,,,,,,,,,,,
Sybill Trelawney,3.6,,,,,,,,,,3.6,,,,,,,,,,,,,,
Quirinus Quirrell,1.5,,,,1.5,1.17,,,,,,,,,,,,,,,,,,,
Cuthbert Binns,1.8,,,,1.8,1.16,,,,,,,,,,,,,,,,,,,
Barty Crouch Jr.,4.3,,,,,,,,,,,,,,,,,,,,,,,,
Barty Crouch,4.7,,,,,,,,,,,,,,,,,,,,,,,,
Alastar Moody,4.3,,,,,,,,,,,,,,,,,,,,,,,,
Lavender Brown,1.7,,,,1.7,1.10,First Year,,,,,,,,,,,,,,,,,,
Parvati Patil,1.7,,,,1.7,1.13,First Year,,,,,,,,,,,,,,,,,,
Seamus Finnegan,1.7,,,,1.7,1.11,First Year,,,,,,,,,,,,,,,,,,
Neville Longbottom,1.6,,,,1.6,1.17,First Year,,,,,,,,,,,,,,,,,,
Dean Thomas,1.7,,,,1.7,1.11,First Year,,,,,,,,,,,,,,,,,,
Hannah Abbott,1.7,,,,1.7,,First Year,,,,,,,,,,,,,,,,,,
Susan Bones,1.7,,,,1.7,,First Year,,,,,,,,,,,,,,,,,,
Ernie Macmillan,2.11,,,,,,First Year,,,,,,,,,,,,,,,,,,
Justin Finch-Fletchley,1.7,,,,1.7,,First Year,,,,,,,,,,,,,,,,,,
Vincent Crabbe,1.6,,,,1.6,,First Year,,,,,,,,,,,,,,,,,,
Gregory Goyle,1.6,,,,1.6,,First Year,,,,,,,,,,,,,,,,,,
Padma Patil,1.7,,,,1.7,,First Year,,,,,,,,,,,,,,,,,,
Michael Corner,5.16,,,,,,First Year,,,,,,,,,,,,,,,,,,
Anthony Goldstein,5.16,,,,,,First Year,,,,,,,,,,,,,,,,,,
Terry Boot,5.16,,,,,,First Year,,,,,,,,,,,,,,,,,,
Cho Chang,,,,,,,,,,,,,,,,,,,,,,,,,
Pansy Parkinson,,,,,,,First Year,,,,,,,,,,,,,,,,,,
Blaise Zabini,,,,,,,,,,,,,,,,,,,,,,,,,
Theodore Nott,,,,,,,,,,,,,,,,,,,,,,,,,
Cormac McLaggen,,,,,,,,,,,,,,,,,,,,,,,,,
Katie Bell,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
Angelina Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Davies,,,,,,,,,,,,,,,,,,,,,,,,,
Alicia Spinnet,,,,,,,,,,,,,,,,,,,,,,,,,
Percy Weasley,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Weasley,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Weasley,,,,,,,,,,,,,,,,,,,,,,,,,
Penelope Clearwater,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Wood,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Flint,,,,,,,,,,,,,,,,,,,,,,,,,
Nymphadora Tonks,,,,,,,,,,,,,,,,,,,,,,,,,
Gilderoy Lockhart,,,,,,,,,,,,,,,,,,,,,,,,,
Andromeda Tonks,,,,,,,,,,,,,,,,,,,,,,,,,
Narcissa Malfoy,,,,,,,,,,,,,,,,,,,,,,,,,
Molly Weasley,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Weasley,,,,,,,,,,,,,,,,,,,,,,,,,
Firenze,,,,,,,,,,,,,,,,,,,,,,,,,
Bane,,,,,,,,,,,,,,,,,,,,,,,,,
Aragog,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Creevey,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Creevey,,,,,,,,,,,,,,,,,,,,,,,,,
Zacharia Smith,,,,,,,,,,,,,,,,,,,,,,,,,
Luna Lovegood,,,,,,,,,,,,,,,,,,,,,,,,,
