	FullIntro	FullLastSeen	FullChapterStart	FullChapterEnd	House	BloodStatus	1Intro	1LastSeen	1Year	2Intro	2 Last Seen	2 Year	3 Intro	3 Last Seen	3 Year	4 Intro	4 Last Seen	4 Year	5 Intro	5 Last Seen	5 Year	6 Intro	6 Last Seen	6 Year	7 Intro	7 Last Seen	7 Year
Harry Potter	1.1	7.37	1	200	Gryffindor	Half-Blood	1.1	1.17	First Year	2.1	2.18	Second Year	3.1	3.22	Third Year	4.1	4.37	Fourth Year	5.1	5.38	Fifth Year	6.3	6.3	Sixth Year	7.2	7.37	Dropout
Hermione Granger	1.6	7.37	10	200	Gryffindor	Muggle-Born	1.6	1.17	First Year	2.4	2.18	Second Year	3.4	3.22	Third Year	4.5	4.37	Fourth Year	5.4	5.38	Fifth Year	6.5	6.3	Sixth Year	7.4	7.37	Dropout
Ronald Weasley	1.6	7.37	15	188	Gryffindor	Pure-Blood	1.6	1.17	First Year	2.2	2.18	Second Year	3.4	3.22	Third Year	4.4	4.37	Fourth Year	5.4	5.38	Fifth Year	6.5	6.3	Sixth Year	7.4	7.37	Dropout
Fred Weasley	1.6	7.31	33	155	Gryffindor	Pure-Blood	1.6	1.17	Third Year	2.3	2.18	Fourth Year	3.4	3.16	Fifth Year	4.4	4.37	Sixth Year	5.4	5.38	Seventh Year	6.6	6.3		7.4	7.31	
George Weasley	1.6	7.36	33	155	Gryffindor	Pure-Blood	1.6	1.16	Third Year	2.3	2.18	Fourth Year	3.4	3.16	Fifth Year	4.4	4.37	Sixth Year	5.4	5.38	Seventh Year	6.6	6.3		7.4	7.36	
Ginny Weasley	1.6	7.37	6	198	Gryffindor	Pure-Blood	1.6	1.16		2.3	2.18	First Year	3.4	3.13	Second Year	4.5	4.31	Third Year	5.4	5.38	Fourth Year	6.5	6.3	Fifth Year	7.5	7.37	Fifth Year
Albus Dumbledore	1.1	6.27			Gryffindor	Half-Blood	1.1	1.17		2.5	2.18		3.5	3.22		4.12	4.37		5.8	5.37		6.3	6.27				
Voldemort	1.17	7.36			Slytherin	Half-Blood	1.17	1.17		2.17	2.17					4.32	4.34		5.36	5.36					7.1	7.36	
Draco Malfoy	1.6	7.37			Slytherin	Pure-Blood	1.6	1.17	First Year	2.4	2.18	Second Year	3.5	3.16	Third Year	4.8	4.37	Fourth Year	5.1	5.32	Fifth Year	6.6	6.28	Sixth Year	7.1	7.37	Seventh Year
Minerva McGonagall	1.1	7.36			Gryffindor	Half-Blood	1.1	1.16		2.5	2.18		3.5	3.15		4.12	4.37		5.6	5.38		6.8	6.3		7.3	7.36	
Lucius Malfoy	2.4	7.36			Slytherin	Pure-Blood				2.4	2.18					4.8	4.33		5.9	5.35					7.1	7.36	
Bellatrix Lestrange	5.34	7.36			Slytherin	Pure-Blood													5.34	5.36		6.2	6.2		7.1	7.36	
Remus Lupin	3.5	7.31			Gryffindor	Half-Blood							3.5	3.22					5.3	5.38		6.6	6.3		7.4	7.31	
Sirius Black	3.3	5.35			Gryffindor	Pure-Blood							3.3	3.21		4.19	4.36		5.4	5.35							
Peter Pettigrew	1.6	7.23			Gryffindor	Half-Blood	1.6	1.12		2.3	2.12		3.4	3.2		4.32	4.34					6.2	6.2		7.1	7.23	
Rubeus Hagrid	1.4	7.36			Gryffindor	Half-Giant	1.4	1.17		2.4	2.18		3.5	3.22		4.11	4.37		5.6	5.38		6.6	6.3		7.4	7.36	
Argus Filch	1.9	7.31			N/A	Squib	1.9	1.15		2.8	2.13		3.8	3.14		4.12	4.25		5.14	5.3		6.12	6.21		7.3	7.31	
Arabella Figg	5.1	6.3			N/A	Squib													5.1	5.8		6.3	6.3				
Cedric Diggory	3.9	4.32			Hufflepuff	Pure-Blood							3.9	3.13	Sixth Year	4.6	4.32	Seventh Year									
Viktor Krum	4.8	7.8			N/A	Half-Blood										4.8	4.37								7.8	7.8	
Fleur Delacour	4.12	7.33			N/A	Quarter-Veela										4.12	4.37					6.5	6.3		7.4	7.33	
Severus Snape	1.7	7.32			Slytherin	Half-Blood	1.7	1.17		2.5	2.16		3.5	3.22		4.17	4.36		5.6	5.38		6.2	6.28		7.1	7.32	
Vernon Dursley	1.1	7.3			N/A	Muggle	1.1	1.4		2.1	2.1		3.1	3.22		4.3	4.37		5.1	5.38		6.3	6.3		7.3	7.3	
Petunia Dursley	1.1	7.3			N/A	Muggle	1.1	1.4		2.1	2.1		3.1	3.2		4.3	4.4		5.1	5.38		6.3	6.3		7.3	7.3	
Dudley Dursley	1.1	7.3			N/A	Muggle	1.1	1.4		2.1	2.1		3.1	3.2		4.3	4.4		5.1	5.38		6.3	6.3		7.3	7.3	
Dobby	2.1	7.23			N/A	N/A				2.1	2.18					4.21	4.28		5.18	5.27		6.19	6.21		7.23	7.23	
Filius Flitwick	1.8	7.36			Ravenclaw	Part-Goblin	1.8	1.16		2.7	2.16		3.5	3.15		4.12	4.31		5.13	5.31		6.18	6.29		7.3	7.36	
Pomona Sprout	1.8	7.36			Hufflepuff	Half-Blood	1.8	1.8		2.6	2.16		3.8	3.11		4.12	4.23		5.11	5.31		6.14	6.3		7.3	7.36	
Sybill Trelawney	3.6	7.32			Ravenclaw	Half-Blood							3.6	3.16		4.13	4.29		5.12	5.26		6.8	6.25		7.32	7.32	
Quirinus Quirrell	1.5	1.17			Ravenclaw	Half-Blood	1.5	1.17																			
Cuthbert Binns	1.8	5.29			Unknown	N/A	1.8	1.16		2.9	2.9					4.29	4.29		5.12	5.29							
Barty Crouch Jr.	4.3	4.36			Unknown	Pure-Blood										4.3	4.35										
Barty Crouch	4.7	4.28			Unknown	Pure-Blood										4.7	4.28										
Alastor Moody	4.3	7.4			Unknown	Pure-Blood										4.3	4.37		5.3	5.38		6.3	6.3		7.4	7.4	
Lavender Brown	1.7	7.32			Gryffindor	Pure-Blood	1.7	1.1	First Year	2.9	2.9	Second Year	3.6	3.16	Third Year	4.13	4.28	Fourth Year	5.11	5.31	Fifth Year	6.9	6.24	Sixth Year	7.32	7.32	Seventh Year
Parvati Patil	1.7	7.32			Gryffindor	Half-Blood	1.7	1.13	First Year	2.9	2.9	Second Year	3.6	3.16	Third Year	4.13	4.28	Fourth Year	5.11	5.31	Fifth Year	6.9	6.15	Sixth Year	7.32	7.32	Seventh Year
Seamus Finnegan	1.7	7.36			Gryffindor	Half-Blood	1.7	1.11	First Year	2.5	2.16	Second Year	3.4	3.22	Third Year	4.7	4.24	Fourth Year	5.11	5.32	Fifth Year	6.8	6.3	Sixth Year	7.29	7.36	Seventh Year
Neville Longbottom	1.6	7.36			Gryffindor	Pure-Blood	1.6	1.17	First Year	2.5	2.16	Second Year	3.4	3.16	Third Year	4.11	4.31	Fourth Year	5.1	5.38	Fifth Year	6.7	6.3	Sixth Year	7.28	7.36	Seventh Year
Dean Thomas	1.7	7.32			Gryffindor	Half-Blood	1.7	1.11	First Year	2.5	2.15	Second Year	3.4	3.22	Third Year	4.7	4.24	Fourth Year	5.11	5.32	Fifth Year	6.8	6.29	Sixth Year	7.15	7.32	Dropout
Hannah Abbott	1.7						1.7	1.7	First Year	2.11	2.15		3.09	3.09		4.13	3.19		5.16	5.38					7.31	7.36	
Susan Bones	1.7						1.7	1.7	First Year										5.16	5.38		6.18	6.18				
Ernie Macmillan	2.11								First Year	2.11	2.15					4.07	4.19		5.11	5.38		6.09	6.28		7.29	7.32	
Justin Finch-Fletchley	1.7						1.7	1.7	First Year	2.06	2.18					4.18	4.18		5.16	5.38							
Vincent Crabbe	1.6						1.6	1.13	First Year	2.06	2.15		3.05	3.15		4.11	4.37		5.1	5.38		6.07	6.3		7.31	7.31	
Gregory Goyle	1.6						1.6	1.13	First Year	2.06	2.15		3.05	3.15		4.11	4.37		5.1	5.38		6.07	6.3		7.31	7.31	
Padma Patil	1.7						1.7	1.7	First Year							4.23	4.27		5.16	5.31					7.29	7.29	
Michael Corner	5.16								First Year										5.16	5.18		6.09	6.09		7.29	7.29	
Anthony Goldstein	5.16								First Year										5.16	5.38					7.29	7.29	
Terry Boot	5.16							1.7	First Year										5.16	5.38		6.09	6.09		7.29	7.29	
Cho Chang													3.13	3.15		4.07	4.37		5.1	5.38		6.07	6.07		7.29	7.29	
Pansy Parkinson							1.9	1.9	First Year				3.06	3.07		4.18	4.28		5.1	5.31		6.07	6.21		7.31	7.31	
Blaise Zabini							1.7	1.7														6.07	6.18				
Theodore Nott							1.7	1.7											5.26	5.26		6.09	6.09				
Cormac McLaggen																						6.07	6.19				
Katie Bell							1.11	1.11		2.07	2.07		3.08	3.15		4.17	4.17		5.13	5.31		6.09	6.24		7.3	7.3	
Lee Jordan							1.6	1.16		2.04	2.14		3.13	3.15		4.13	4.21		5.1	5.31					7.08	7.36	
